Year,Month,Category,Material Type,Weight (lbs)
2024,Jan,Landfill,L-Landfill,"15,740"
2024,Jan,Recycle,R-Mixed recycling,"9,260"
2024,Jan,Recycle,R-Mixed recycling,"9,020"
2024,Jan,Recycle,R-Mixed recycling,"7,900"
2024,Jan,Recycle,R-Mixed recycling,"7,600"
2024,Jan,Recycle,R-Mixed recycling,"6,920"
2024,Jan,Recycle,R-Mixed recycling,"9,780"
2024,Jan,Recycle,R-Mixed recycling,"7,460"
2024,Feb,Compost,C-Foodscraps,"72,000"
2024,Feb,Compost,C-Organics,"48,600"
2024,Feb,Recycle,R-Mixed recycling,262
2024,Feb,Landfill,L-Landfill,"1,656"
2024,Jun,Recycle,R-Cardboard,"19,760"
2024,Feb,Compost,C-Yardwaste,"7,460"
2024,Feb,Compost,C-Yardwaste,"11,100"
2024,Feb,Compost,C-Yardwaste,"8,060"
2024,Feb,Compost,C-Yardwaste,"9,820"
2024,Feb,Compost,C-Yardwaste,"10,340"
2024,Feb,Compost,C-Yardwaste,"8,880"
2024,Feb,Landfill,L-Landfill,"16,900"
2024,Feb,Landfill,L-Landfill,"16,440"
2024,Feb,Landfill,L-Landfill,"19,120"
2024,Feb,Landfill,L-Landfill,"15,080"
2024,Feb,Landfill,L-Landfill,"16,280"
2024,Feb,Landfill,L-Landfill,"16,220"
2024,Feb,Landfill,L-Landfill,"19,780"
2024,Feb,Landfill,L-Landfill,"13,360"
2024,Feb,Landfill,L-Landfill,"17,280"
2024,Feb,Recycle,R-Mixed recycling,"7,720"
2024,Feb,Recycle,R-Mixed recycling,"7,600"
2024,Feb,Recycle,R-Mixed recycling,"9,040"
2024,Feb,Recycle,R-Mixed recycling,"7,880"
2024,Feb,Recycle,R-Mixed recycling,"8,160"
2024,Feb,Recycle,R-Mixed recycling,"7,820"
2024,Feb,Recycle,R-Mixed recycling,"9,800"
2024,Feb,Recycle,R-Mixed recycling,"5,800"
2024,Feb,Recycle,R-Mixed recycling,"9,900"
2024,Mar,Compost,C-Yardwaste,"2,000"
2024,Mar,Compost,C-Yardwaste,"10,560"
2024,Mar,Compost,C-Yardwaste,"8,080"
2024,Mar,Compost,C-Yardwaste,"11,020"
2024,Mar,Compost,C-Yardwaste,"11,340"
2024,Mar,Compost,C-Yardwaste,"5,000"
